GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Somewhat difficult,League of Legends,6,0,3,Male,18,Student at college / university,Bachelor (or equivalent),PER,16,22,5
Somewhat difficult,League of Legends,20,1,1,Male,22,Student at college / university,Bachelor (or equivalent),AUS,24,16,2
Not difficult at all,League of Legends,15,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,26,14,4
Somewhat difficult,League of Legends,8,1,1,Female,18,Student at college / university,High school diploma (or equivalent),USA,26,17,5
Somewhat difficult,League of Legends,20,1,2,Male,19,Student at school,High school diploma (or equivalent),DEU,13,15,14
Not difficult at all,League of Legends,25,1,1,Male,18,Student at school,High school diploma (or equivalent),PRT,24,11,2
Somewhat difficult,League of Legends,8,1,1,Male,20,Employed,High school diploma (or equivalent),USA,17,23,8
Not difficult at all,League of Legends,34,1,3,Male,19,Student at college / university,High school diploma (or equivalent),PRT,23,23,3
NA,League of Legends,14,1,2,Male,18,Student at college / university,High school diploma (or equivalent),DNK,30,10,0
Somewhat difficult,League of Legends,40,1,4,Male,21,Unemployed / between jobs,High school diploma (or equivalent),SWE,13,27,9
Not difficult at all,League of Legends,20,1,1,Male,22,Student at college / university,High school diploma (or equivalent),USA,32,8,3
Somewhat difficult,League of Legends,12,1,1,Male,25,Student at college / university,High school diploma (or equivalent),ARG,25,17,4
Somewhat difficult,League of Legends,20,1,2,Male,25,Employed,Bachelor (or equivalent),CAN,25,17,4
Not difficult at all,League of Legends,15,1,1,Male,26,Employed,Bachelor (or equivalent),CAN,20,13,0
Not difficult at all,League of Legends,20,1,1,Male,18,Student at school,High school diploma (or equivalent),MEX,10,30,8
Not difficult at all,League of Legends,15,1,1,Male,18,Student at school,None,USA,15,22,9
Somewhat difficult,League of Legends,14,1,1,Male,19,Student at college / university,High school diploma (or equivalent),DEU,16,43,8
Not difficult at all,League of Legends,35,1,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),AUT,16,NA,3
Extremely difficult,League of Legends,50,1,4,Male,19,Student at college / university,High school diploma (or equivalent),PHL,6,37,18
Somewhat difficult,League of Legends,10,1,1,Male,22,Unemployed / between jobs,Bachelor (or equivalent),FRA,13,37,10
NA,League of Legends,35,1,1,Male,20,Student at college / university,High school diploma (or equivalent),ROU,26,12,0
Somewhat difficult,League of Legends,18,1,1,Male,18,Student at school,None,USA,30,9,2
Very difficult,League of Legends,30,1,1,Female,23,Unemployed / between jobs,Bachelor (or equivalent),USA,9,58,17
Somewhat difficult,League of Legends,20,1,3,Male,25,Employed,High school diploma (or equivalent),USA,5,36,2
Not difficult at all,League of Legends,12,1,1,Male,22,Student at college / university,Bachelor (or equivalent),DEU,12,21,2
Not difficult at all,League of Legends,20,1,3,Male,19,Student at college / university,High school diploma (or equivalent),GBR,25,4,1
Extremely difficult,League of Legends,60,1,2,Male,21,Student at college / university,None,ESP,35,26,14
Not difficult at all,League of Legends,25,1,2,Male,18,Student at school,None,USA,21,12,5
Somewhat difficult,League of Legends,25,1,1,Male,29,Employed,Master (or equivalent),ESP,31,9,2
Extremely difficult,League of Legends,20,1,3,Male,20,Student at college / university,None,GBR,7,22,9
Not difficult at all,League of Legends,3,0,1,Male,18,Student at college / university,High school diploma (or equivalent),CAN,16,25,6
Very difficult,League of Legends,9,1,1,Male,22,Student at college / university,Bachelor (or equivalent),NLD,14,25,7
Somewhat difficult,League of Legends,30,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,14,24,7
Not difficult at all,League of Legends,20,0,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,10,52,11
Somewhat difficult,League of Legends,20,1,1,Male,21,Student at college / university,Bachelor (or equivalent),FRA,16,33,6
Very difficult,League of Legends,25,1,2,Male,24,Unemployed / between jobs,Bachelor (or equivalent),IDN,9,26,14
Not difficult at all,League of Legends,10,1,3,Male,19,Student at college / university,High school diploma (or equivalent),PRT,16,11,0
Somewhat difficult,League of Legends,5,1,3,Female,19,Student at college / university,High school diploma (or equivalent),DEU,16,27,6
Not difficult at all,League of Legends,70,1,3,Male,18,Student at school,High school diploma (or equivalent),DEU,12,41,8
Somewhat difficult,League of Legends,30,1,3,Male,18,Student at college / university,High school diploma (or equivalent),USA,22,31,7
Not difficult at all,League of Legends,10,0,4,Male,18,Student at college / university,High school diploma (or equivalent),CAN,15,50,5
Not difficult at all,League of Legends,14,1,1,Male,20,Student at college / university,High school diploma (or equivalent),ESP,12,46,5
Very difficult,League of Legends,10,1,1,Male,27,Employed,High school diploma (or equivalent),DEU,14,7,13
Not difficult at all,League of Legends,15,1,2,Male,18,Student at school,High school diploma (or equivalent),LIE,28,11,2
Not difficult at all,League of Legends,20,1,2,Male,25,Student at college / university,Bachelor (or equivalent),DEU,18,10,2
NA,League of Legends,8,1,1,Male,27,Employed,Master (or equivalent),BEL,31,31,0
Not difficult at all,League of Legends,20,1,1,Male,18,Student at school,High school diploma (or equivalent),FIN,25,1,1
NA,League of Legends,10,1,2,Male,18,Student at college / university,High school diploma (or equivalent),CAN,29,24,0
Somewhat difficult,League of Legends,15,1,2,Female,23,Student at college / university,High school diploma (or equivalent),NLD,18,18,3
Not difficult at all,League of Legends,22,1,3,Male,23,Student at college / university,High school diploma (or equivalent),DEU,13,24,7
Not difficult at all,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),GRC,30,10,3
Somewhat difficult,League of Legends,8,1,1,Male,22,Student at college / university,Bachelor (or equivalent),BEL,21,19,4
Not difficult at all,League of Legends,25,1,1,Male,19,Student at college / university,High school diploma (or equivalent),DEU,19,12,2
Not difficult at all,League of Legends,35,1,1,Male,18,Student at school,High school diploma (or equivalent),CAN,24,24,3
Not difficult at all,League of Legends,15,0,3,Male,25,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",USA,31,32,6
Not difficult at all,League of Legends,20,1,2,Male,21,Employed,High school diploma (or equivalent),SWE,21,13,2
Somewhat difficult,League of Legends,20,1,3,Male,19,Student at college / university,High school diploma (or equivalent),USA,7,24,10
Extremely difficult,League of Legends,10,1,1,Male,21,Student at college / university,High school diploma (or equivalent),DEU,7,35,21
Somewhat difficult,League of Legends,16,1,3,Male,22,Employed,High school diploma (or equivalent),ROU,10,44,3
Somewhat difficult,League of Legends,30,1,2,Male,23,Unemployed / between jobs,High school diploma (or equivalent),CAN,18,32,2
Somewhat difficult,League of Legends,10,1,2,Female,25,Unemployed / between jobs,High school diploma (or equivalent),USA,9,27,3
Somewhat difficult,League of Legends,20,1,3,Male,24,Employed,Bachelor (or equivalent),POL,17,38,3
Not difficult at all,League of Legends,10,1,2,Male,20,Employed,High school diploma (or equivalent),USA,17,9,4
Somewhat difficult,League of Legends,18,1,2,Male,20,Student at college / university,None,DEU,17,14,10
Somewhat difficult,League of Legends,25,1,1,Male,21,Student at college / university,High school diploma (or equivalent),DEU,14,11,2
Somewhat difficult,League of Legends,2,1,3,Male,19,Student at college / university,High school diploma (or equivalent),MYS,14,26,13
NA,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),DNK,33,4,0
NA,League of Legends,40,1,1,Male,21,Unemployed / between jobs,High school diploma (or equivalent),FIN,25,3,0
Very difficult,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),ESP,21,36,3
Somewhat difficult,League of Legends,20,1,3,Male,19,Student at school,High school diploma (or equivalent),DNK,16,31,4
Not difficult at all,League of Legends,10,1,2,Male,22,Student at college / university,Bachelor (or equivalent),CHE,28,6,2
Very difficult,League of Legends,50,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,17,31,14
Not difficult at all,League of Legends,13,1,2,Male,19,Student at college / university,High school diploma (or equivalent),AUT,25,12,5
Not difficult at all,League of Legends,26,1,2,Male,18,Student at school,None,USA,17,13,2
Extremely difficult,League of Legends,20,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,25,10,10
Not difficult at all,League of Legends,8,1,2,Male,23,Student at college / university,Bachelor (or equivalent),FRA,21,4,0
Not difficult at all,League of Legends,16,1,2,Male,19,Student at school,High school diploma (or equivalent),USA,24,15,3
Not difficult at all,League of Legends,20,1,3,Male,23,Employed,High school diploma (or equivalent),USA,16,22,8
Not difficult at all,League of Legends,35,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,28,4,0
Not difficult at all,League of Legends,45,1,2,Male,20,Student at college / university,High school diploma (or equivalent),FRA,21,22,3
Somewhat difficult,League of Legends,20,1,1,Male,18,Student at school,None,USA,30,25,5
Not difficult at all,League of Legends,10,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,22,18,6
Somewhat difficult,League of Legends,35,1,1,Male,22,Student at college / university,Master (or equivalent),FRA,13,26,11
Not difficult at all,League of Legends,6,1,2,Male,18,Student at school,High school diploma (or equivalent),DEU,23,NA,2
Not difficult at all,League of Legends,40,1,2,Male,23,Employed,Bachelor (or equivalent),BGR,17,NA,0
Somewhat difficult,League of Legends,10,1,4,Male,19,Student at college / university,High school diploma (or equivalent),BEL,16,47,5
Not difficult at all,League of Legends,30,1,2,Male,23,Student at college / university,Bachelor (or equivalent),NLD,21,38,3
Somewhat difficult,League of Legends,25,1,3,Male,23,Employed,High school diploma (or equivalent),USA,19,16,2
Somewhat difficult,League of Legends,45,1,2,Male,19,Unemployed / between jobs,High school diploma (or equivalent),DEU,17,NA,5
Somewhat difficult,League of Legends,15,1,5,Male,21,Student at college / university,High school diploma (or equivalent),USA,7,51,13
Somewhat difficult,League of Legends,30,1,2,Male,19,Student at college / university,High school diploma (or equivalent),GBR,15,17,1
Not difficult at all,League of Legends,20,1,4,Male,18,Student at school,None,NOR,31,13,6
Not difficult at all,League of Legends,20,1,1,Male,21,Student at college / university,High school diploma (or equivalent),ESP,22,14,0
Somewhat difficult,League of Legends,20,1,3,Male,25,Student at college / university,Bachelor (or equivalent),MEX,24,0,5
Not difficult at all,League of Legends,8,1,1,Male,19,Employed,High school diploma (or equivalent),USA,27,4,1
Somewhat difficult,League of Legends,40,1,1,Male,21,Student at college / university,High school diploma (or equivalent),NLD,16,12,3
Not difficult at all,League of Legends,16,1,3,Male,19,Student at college / university,High school diploma (or equivalent),USA,26,24,4
Not difficult at all,League of Legends,22,1,3,Male,18,Student at college / university,High school diploma (or equivalent),GBR,32,11,1
Not difficult at all,League of Legends,30,1,1,Male,18,Student at college / university,High school diploma (or equivalent),GBR,26,8,0
NA,League of Legends,20,1,2,Male,21,Student at college / university,High school diploma (or equivalent),AUS,5,15,0
Not difficult at all,League of Legends,14,1,1,Male,18,Student at school,High school diploma (or equivalent),HRV,28,20,1
Somewhat difficult,League of Legends,35,1,3,Male,26,Student at college / university,High school diploma (or equivalent),SWE,14,NA,3
Somewhat difficult,League of Legends,50,1,1,Male,19,Unemployed / between jobs,High school diploma (or equivalent),PRT,28,41,1
Somewhat difficult,League of Legends,21,1,1,Male,19,Student at college / university,High school diploma (or equivalent),SGP,9,24,12
Very difficult,League of Legends,10,1,2,Male,40,Employed,High school diploma (or equivalent),GBR,9,18,19
Somewhat difficult,League of Legends,20,1,1,Male,23,Unemployed / between jobs,Bachelor (or equivalent),BRA,22,3,1
Somewhat difficult,League of Legends,20,1,2,Male,26,Employed,Bachelor (or equivalent),USA,26,19,4
Not difficult at all,League of Legends,30,1,3,Male,26,Employed,High school diploma (or equivalent),BRA,28,11,1
Somewhat difficult,League of Legends,10,1,1,Male,18,Student at college / university,High school diploma (or equivalent),FRA,17,NA,3
Very difficult,League of Legends,45,1,1,Male,23,Student at college / university,Bachelor (or equivalent),GBR,17,54,13
Not difficult at all,League of Legends,14,1,2,Male,18,Student at school,None,ISR,24,0,0
Not difficult at all,League of Legends,20,1,3,Male,19,Student at college / university,High school diploma (or equivalent),USA,21,46,9
Not difficult at all,League of Legends,28,1,2,Male,30,Employed,High school diploma (or equivalent),GBR,22,8,2
Not difficult at all,League of Legends,25,1,1,Male,22,Student at college / university,High school diploma (or equivalent),DEU,15,5,2
Not difficult at all,League of Legends,10,1,4,Male,27,Unemployed / between jobs,Bachelor (or equivalent),SWE,14,0,5
Not difficult at all,League of Legends,50,1,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),FIN,32,9,1
Not difficult at all,League of Legends,50,1,4,Male,19,Student at school,High school diploma (or equivalent),DEU,15,8,5
Somewhat difficult,League of Legends,5,1,1,Female,20,Student at college / university,High school diploma (or equivalent),USA,11,24,2
Not difficult at all,League of Legends,20,0,1,Male,19,Student at college / university,High school diploma (or equivalent),AUT,32,23,3
Not difficult at all,League of Legends,3,1,1,Male,23,Student at college / university,High school diploma (or equivalent),EST,27,4,1
Very difficult,League of Legends,40,1,4,Male,18,Student at school,None,DEU,9,37,10
Very difficult,League of Legends,30,1,2,Female,18,Student at college / university,High school diploma (or equivalent),GBR,15,48,15
Not difficult at all,League of Legends,30,1,2,Male,19,Student at college / university,Bachelor (or equivalent),BRA,20,13,3
Somewhat difficult,League of Legends,16,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,26,34,5
Not difficult at all,League of Legends,25,1,1,Male,19,Student at college / university,High school diploma (or equivalent),AUS,20,13,0
Very difficult,League of Legends,80,1,3,Male,21,Employed,High school diploma (or equivalent),USA,5,34,21
NA,League of Legends,15,1,4,Male,22,Student at college / university,Bachelor (or equivalent),BEL,31,9,0
Not difficult at all,League of Legends,25,0,1,Male,22,Student at college / university,High school diploma (or equivalent),DEU,24,16,1
Not difficult at all,League of Legends,7,1,4,Male,18,Student at school,High school diploma (or equivalent),DEU,31,4,2
Somewhat difficult,League of Legends,20,1,2,Male,21,Employed,High school diploma (or equivalent),USA,11,55,10
Somewhat difficult,League of Legends,30,1,3,Male,35,Employed,Bachelor (or equivalent),SWE,13,4,15
Very difficult,League of Legends,22,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,9,54,21
Not difficult at all,League of Legends,30,1,2,Male,24,Employed,Bachelor (or equivalent),DEU,10,9,4
Not difficult at all,League of Legends,25,1,1,Male,18,Student at school,None,USA,21,23,3
Very difficult,League of Legends,35,1,3,Male,21,Unemployed / between jobs,High school diploma (or equivalent),FRA,12,NA,17
Not difficult at all,League of Legends,21,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,27,37,9
Somewhat difficult,League of Legends,24,1,2,Male,19,Student at school,High school diploma (or equivalent),SRB,29,2,3
NA,League of Legends,15,1,1,Female,21,Student at college / university,High school diploma (or equivalent),GBR,30,14,0
Somewhat difficult,League of Legends,14,1,2,Male,30,Employed,Master (or equivalent),RUS,15,7,4
Not difficult at all,League of Legends,18,1,3,Male,21,Student at college / university,High school diploma (or equivalent),DEU,28,12,5
Somewhat difficult,League of Legends,6,1,3,Male,21,Student at college / university,High school diploma (or equivalent),USA,16,7,8
Somewhat difficult,League of Legends,50,1,1,Male,18,Student at school,None,GBR,30,23,5
Not difficult at all,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),DEU,22,3,2
Not difficult at all,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),PRT,16,24,1
Not difficult at all,League of Legends,30,1,3,Male,24,Student at college / university,High school diploma (or equivalent),USA,14,5,4
Somewhat difficult,League of Legends,21,1,2,Male,20,Unemployed / between jobs,None,USA,10,44,13
Not difficult at all,League of Legends,35,1,1,Male,19,Student at college / university,High school diploma (or equivalent),NOR,13,14,1
NA,League of Legends,20,1,1,Male,25,Employed,High school diploma (or equivalent),USA,20,8,0
Somewhat difficult,League of Legends,12,1,4,Male,18,Student at college / university,High school diploma (or equivalent),ARG,12,26,4
Somewhat difficult,League of Legends,30,0,2,Male,20,Student at college / university,High school diploma (or equivalent),GBR,11,18,9
Not difficult at all,League of Legends,7,1,2,Male,18,Student at school,High school diploma (or equivalent),PRT,21,10,2
Not difficult at all,League of Legends,6,1,1,Male,19,Student at school,High school diploma (or equivalent),CAN,28,19,5
Not difficult at all,League of Legends,10,1,5,Male,18,Student at school,High school diploma (or equivalent),CAN,19,16,5
Not difficult at all,League of Legends,21,1,1,Male,18,Student at college / university,High school diploma (or equivalent),FRA,24,5,3
Extremely difficult,League of Legends,28,0,1,Female,21,Student at college / university,High school diploma (or equivalent),DEU,8,27,8
Somewhat difficult,League of Legends,15,1,3,Male,21,Unemployed / between jobs,Bachelor (or equivalent),ESP,8,22,7
Not difficult at all,League of Legends,28,1,2,Male,19,Student at college / university,High school diploma (or equivalent),MYS,18,18,4
Somewhat difficult,League of Legends,18,1,2,Male,20,Student at college / university,High school diploma (or equivalent),DEU,32,12,9
Somewhat difficult,League of Legends,26,1,3,Male,18,Student at college / university,High school diploma (or equivalent),FRA,26,NA,2
Somewhat difficult,League of Legends,10,1,3,Male,27,Student at college / university,Bachelor (or equivalent),CHE,28,21,8
Somewhat difficult,League of Legends,25,1,2,Male,18,Student at college / university,Bachelor (or equivalent),GBR,13,NA,3
Not difficult at all,League of Legends,15,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,27,6,3
Not difficult at all,League of Legends,12,1,4,Male,19,Student at school,None,POL,18,31,10
Somewhat difficult,League of Legends,21,1,4,Male,24,Unemployed / between jobs,Master (or equivalent),PRT,16,6,11
Somewhat difficult,League of Legends,80,1,2,Male,19,Student at college / university,None,USA,29,9,3
Very difficult,League of Legends,7,1,3,Male,19,Student at college / university,High school diploma (or equivalent),USA,13,19,13
Not difficult at all,League of Legends,20,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,10,26,3
Not difficult at all,League of Legends,12,1,3,Male,30,Employed,Bachelor (or equivalent),USA,20,15,2
Not difficult at all,League of Legends,10,1,2,Male,31,Employed,Bachelor (or equivalent),USA,23,27,2
Not difficult at all,League of Legends,7,1,1,Male,20,Student at college / university,High school diploma (or equivalent),NLD,28,11,0
Not difficult at all,League of Legends,18,0,2,Male,24,Student at college / university,Bachelor (or equivalent),USA,29,1,2
Not difficult at all,League of Legends,40,1,2,Male,19,Employed,High school diploma (or equivalent),DEU,23,31,2
Not difficult at all,League of Legends,25,1,3,Male,21,Student at college / university,High school diploma (or equivalent),DEU,19,30,2
Not difficult at all,League of Legends,35,1,4,Male,18,Student at college / university,Bachelor (or equivalent),FRA,20,32,3
Not difficult at all,League of Legends,50,1,1,Male,22,Student at college / university,High school diploma (or equivalent),USA,30,19,3
Somewhat difficult,League of Legends,10,1,2,Male,25,Student at college / university,Bachelor (or equivalent),TUR,23,12,4
Not difficult at all,League of Legends,10,1,1,Male,29,Unemployed / between jobs,Bachelor (or equivalent),SRB,10,23,0
Not difficult at all,League of Legends,40,1,4,Male,18,Student at college / university,High school diploma (or equivalent),USA,27,4,4
Not difficult at all,League of Legends,30,1,3,Male,21,Employed,Bachelor (or equivalent),USA,30,0,4
Not difficult at all,League of Legends,35,1,2,Male,21,Student at college / university,High school diploma (or equivalent),NLD,24,19,1
Not difficult at all,League of Legends,60,1,2,Male,28,Student at college / university,High school diploma (or equivalent),IRL,12,7,3
Not difficult at all,League of Legends,7,1,3,Male,25,Employed,Bachelor (or equivalent),PRT,17,14,8
Somewhat difficult,League of Legends,20,1,3,Male,29,Employed,Bachelor (or equivalent),USA,30,7,2
Somewhat difficult,League of Legends,25,1,2,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,20,42,1
Not difficult at all,League of Legends,NA,0,1,Male,18,Employed,High school diploma (or equivalent),AUS,13,41,7
Not difficult at all,League of Legends,10,0,2,Male,18,Student at school,High school diploma (or equivalent),VNM,19,15,2
Not difficult at all,League of Legends,28,1,2,Male,18,Employed,High school diploma (or equivalent),CAN,30,2,0
Somewhat difficult,League of Legends,10,1,2,Male,19,Student at college / university,High school diploma (or equivalent),FRA,32,37,7
Not difficult at all,League of Legends,15,1,1,Male,18,Student at school,None,CZE,24,22,3
Not difficult at all,League of Legends,15,1,1,Male,18,Student at school,None,CZE,24,22,3
Somewhat difficult,League of Legends,55,1,3,Male,20,Student at college / university,High school diploma (or equivalent),NZL,27,3,8
Extremely difficult,League of Legends,30,1,3,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,11,NA,15
Not difficult at all,League of Legends,7,1,2,Male,26,Student at college / university,Bachelor (or equivalent),USA,20,4,3
Somewhat difficult,League of Legends,52,0,2,Male,18,Student at college / university,High school diploma (or equivalent),BEL,12,17,5
Somewhat difficult,League of Legends,18,1,1,Male,19,Student at school,High school diploma (or equivalent),DEU,11,44,6
Not difficult at all,League of Legends,20,1,1,Male,30,Employed,Bachelor (or equivalent),USA,12,10,8
Not difficult at all,League of Legends,40,1,1,Male,20,Unemployed / between jobs,None,USA,24,14,0
Not difficult at all,League of Legends,18,0,2,Male,21,Student at school,None,PRT,17,25,5
Not difficult at all,League of Legends,14,1,1,Male,18,Student at college / university,High school diploma (or equivalent),DEU,20,11,2
Not difficult at all,League of Legends,14,1,3,Male,23,Unemployed / between jobs,None,NOR,13,5,3
Not difficult at all,League of Legends,20,1,2,Male,19,Employed,High school diploma (or equivalent),LVA,28,23,9
Somewhat difficult,League of Legends,15,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,18,NA,3
Not difficult at all,League of Legends,20,1,2,Male,22,Student at college / university,High school diploma (or equivalent),DEU,28,10,5
Somewhat difficult,League of Legends,50,1,2,Male,25,Student at college / university,Bachelor (or equivalent),FRA,12,3,3
Not difficult at all,League of Legends,20,1,3,Male,23,Unemployed / between jobs,High school diploma (or equivalent),BEL,15,2,0
Not difficult at all,League of Legends,30,1,1,Male,22,Student at college / university,High school diploma (or equivalent),DEU,10,28,4
Not difficult at all,League of Legends,8,1,2,Male,19,Student at school,High school diploma (or equivalent),USA,10,4,6
Not difficult at all,League of Legends,20,1,2,Male,19,Student at school,High school diploma (or equivalent),CAN,24,11,3
Somewhat difficult,League of Legends,21,1,2,Male,20,Student at college / university,Bachelor (or equivalent),AUS,12,42,5
Somewhat difficult,League of Legends,20,0,2,Female,22,Student at college / university,High school diploma (or equivalent),PRT,17,39,4
Not difficult at all,League of Legends,20,1,4,Male,20,Employed,High school diploma (or equivalent),SGP,18,26,0
Very difficult,League of Legends,16,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,16,31,8
Not difficult at all,League of Legends,30,1,3,Male,20,Student at college / university,High school diploma (or equivalent),DEU,10,41,7
Not difficult at all,League of Legends,25,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,14,19,2
Not difficult at all,League of Legends,30,1,1,Male,18,Employed,High school diploma (or equivalent),GBR,18,15,4
Very difficult,League of Legends,30,1,2,Male,22,Student at college / university,High school diploma (or equivalent),NLD,15,20,4
Somewhat difficult,League of Legends,20,1,3,Male,42,Employed,None,GBR,22,0,13
Somewhat difficult,League of Legends,10,1,2,Male,23,Student at college / university,Bachelor (or equivalent),USA,30,13,5
Not difficult at all,League of Legends,18,1,2,Male,20,Student at college / university,High school diploma (or equivalent),BRA,15,12,1
Not difficult at all,League of Legends,15,1,3,Male,19,Student at college / university,High school diploma (or equivalent),SWE,14,21,3
Very difficult,League of Legends,20,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,10,26,17
Not difficult at all,League of Legends,21,1,1,Male,24,Student at college / university,Bachelor (or equivalent),SVN,25,5,4
Not difficult at all,League of Legends,40,1,3,Male,21,Student at college / university,High school diploma (or equivalent),GBR,19,13,0
NA,League of Legends,60,0,1,Male,23,Employed,Bachelor (or equivalent),FRA,19,18,0
Somewhat difficult,League of Legends,21,1,3,Male,18,Unemployed / between jobs,High school diploma (or equivalent),BRA,14,NA,5
Very difficult,League of Legends,25,1,1,Male,21,Employed,Bachelor (or equivalent),GBR,20,35,6
Not difficult at all,League of Legends,21,1,1,Male,18,Student at college / university,High school diploma (or equivalent),NLD,23,8,4
Somewhat difficult,League of Legends,30,1,5,Male,24,Student at college / university,Bachelor (or equivalent),USA,21,4,3
Extremely difficult,League of Legends,10,1,4,Male,31,Employed,Bachelor (or equivalent),USA,7,53,20
NA,League of Legends,20,1,3,Male,23,Employed,Bachelor (or equivalent),USA,30,18,0
Not difficult at all,League of Legends,30,1,3,Male,18,Student at school,None,USA,24,16,4
NA,League of Legends,20,1,4,Male,26,Employed,Bachelor (or equivalent),USA,26,20,0
Not difficult at all,League of Legends,3,1,4,Male,20,Student at college / university,High school diploma (or equivalent),CAN,31,5,2
Very difficult,League of Legends,20,1,5,Male,24,Unemployed / between jobs,Bachelor (or equivalent),USA,10,13,16
Very difficult,League of Legends,20,1,1,Female,25,Unemployed / between jobs,High school diploma (or equivalent),GBR,9,63,19
Not difficult at all,League of Legends,10,1,1,Male,26,Employed,Bachelor (or equivalent),USA,25,39,2
Not difficult at all,League of Legends,30,1,5,Male,20,Student at college / university,None,TUR,11,16,21
Somewhat difficult,League of Legends,25,1,1,Male,25,Employed,High school diploma (or equivalent),NLD,10,50,21
Not difficult at all,League of Legends,11,1,4,Male,18,Student at school,High school diploma (or equivalent),USA,21,24,8
Somewhat difficult,League of Legends,10,1,2,Male,18,Employed,High school diploma (or equivalent),DEU,22,12,3
NA,League of Legends,30,1,1,Male,18,Student at school,High school diploma (or equivalent),SWE,30,5,0
Not difficult at all,League of Legends,12,1,2,Male,18,Student at school,High school diploma (or equivalent),PRT,24,18,6
Somewhat difficult,League of Legends,14,1,1,Male,23,Employed,Bachelor (or equivalent),IRL,13,32,11
Not difficult at all,League of Legends,21,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,14,10,1
Not difficult at all,League of Legends,6,1,4,Female,18,Student at school,High school diploma (or equivalent),NOR,33,17,4
Not difficult at all,League of Legends,11,1,1,Male,20,Student at college / university,High school diploma (or equivalent),DEU,22,24,0
Not difficult at all,League of Legends,5,1,1,Male,18,Student at college / university,None,USA,27,25,3
Not difficult at all,League of Legends,10,1,2,Male,24,Unemployed / between jobs,High school diploma (or equivalent),GBR,19,9,1
Somewhat difficult,League of Legends,30,1,1,Male,18,Student at school,None,USA,18,45,7
Not difficult at all,League of Legends,25,0,1,Male,21,Student at college / university,High school diploma (or equivalent),DNK,27,15,0
Not difficult at all,League of Legends,12,1,1,Male,23,Employed,Master (or equivalent),FRA,27,18,4
Not difficult at all,League of Legends,25,1,1,Male,20,Student at college / university,High school diploma (or equivalent),ITA,25,NA,1
Somewhat difficult,League of Legends,7,1,4,Male,19,Student at college / university,None,PRT,25,8,1
Not difficult at all,League of Legends,30,1,1,Male,23,Student at college / university,High school diploma (or equivalent),CAN,10,44,3
Not difficult at all,League of Legends,15,1,4,Male,23,Employed,"Ph.D., Psy. D., MD (or equivalent)",FRA,33,23,1
Not difficult at all,League of Legends,35,1,2,Male,23,Unemployed / between jobs,High school diploma (or equivalent),HRV,13,21,8
Somewhat difficult,League of Legends,16,1,3,Male,18,Student at school,High school diploma (or equivalent),EST,9,45,12
Not difficult at all,League of Legends,5,1,1,Male,28,Student at college / university,Master (or equivalent),DEU,31,2,1
Somewhat difficult,League of Legends,15,1,1,Male,18,Student at school,None,FIN,19,34,5
Somewhat difficult,League of Legends,20,1,4,Male,24,Student at college / university,Master (or equivalent),NLD,13,18,10
Somewhat difficult,League of Legends,14,1,5,Male,19,Student at college / university,High school diploma (or equivalent),HRV,12,16,9
Somewhat difficult,League of Legends,14,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,25,9,5
Not difficult at all,League of Legends,10,1,2,Male,18,Unemployed / between jobs,High school diploma (or equivalent),CAN,8,36,5
Somewhat difficult,League of Legends,70,0,2,Male,22,Student at college / university,High school diploma (or equivalent),SWE,20,9,4
Somewhat difficult,League of Legends,20,1,1,Male,24,Student at college / university,Bachelor (or equivalent),USA,23,36,6
Not difficult at all,League of Legends,30,1,2,Male,26,Student at college / university,Bachelor (or equivalent),DEU,28,14,0
