GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Not difficult at all,League of Legends,14,1,3,Male,29,Employed,Bachelor (or equivalent),GBR,33,8,3
Somewhat difficult,League of Legends,13,1,3,Male,18,Student at school,None,CAN,20,22,9
Somewhat difficult,League of Legends,20,1,2,Male,18,Student at school,None,USA,17,26,4
Somewhat difficult,League of Legends,12,1,2,Male,25,Unemployed / between jobs,Bachelor (or equivalent),GBR,13,8,14
Somewhat difficult,League of Legends,35,1,3,Male,21,Student at college / university,Bachelor (or equivalent),PRT,17,48,3
Not difficult at all,League of Legends,7,0,2,Male,19,Student at college / university,None,NA,18,9,5
Not difficult at all,League of Legends,30,1,3,Male,21,Student at college / university,Bachelor (or equivalent),DEU,29,19,1
Somewhat difficult,League of Legends,10,1,1,Female,20,Student at college / university,High school diploma (or equivalent),DNK,17,34,6
Not difficult at all,League of Legends,70,1,1,Male,19,Student at college / university,High school diploma (or equivalent),SRB,13,4,2
Somewhat difficult,League of Legends,40,1,3,Male,18,Student at school,High school diploma (or equivalent),SWE,12,26,11
Somewhat difficult,League of Legends,8,1,1,Male,21,Student at college / university,Bachelor (or equivalent),MAR,11,32,12
Not difficult at all,League of Legends,8,1,2,Male,23,Employed,Master (or equivalent),USA,12,5,0
Not difficult at all,League of Legends,30,1,1,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,15,21,1
Not difficult at all,League of Legends,40,1,3,Male,21,Unemployed / between jobs,High school diploma (or equivalent),USA,9,19,0
Not difficult at all,League of Legends,21,1,3,Male,18,Student at school,None,FRA,17,51,8
Somewhat difficult,League of Legends,50,1,2,Male,18,Student at school,None,USA,25,21,8
Somewhat difficult,League of Legends,20,1,2,Male,18,Student at school,High school diploma (or equivalent),DEU,22,12,4
Not difficult at all,League of Legends,12,1,3,Male,31,Employed,High school diploma (or equivalent),NLD,25,11,2
